Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-02-20,1019.9,1025.43,1016.18,1019.71,1118040191
2019-02-21,1020.34,1028.93,1016.95,1024.94,1071105365
2019-02-22,1028.4,1034.68,1026.12,1031.86,1186633020
2019-02-25,1038.75,1051.46,1038.75,1043.3,1711277283
2019-02-26,1042.61,1050.82,1039.42,1050.82,1516611280
2019-02-27,1051.17,1052.69,1041.17,1041.41,1546041134
2019-02-28,1041.41,1050.7,1041.28,1045.3,1332583594
2019-03-01,1046.9,1048.33,1029.57,1032.67,1385713713
2019-03-04,1035.64,1046.17,1034.75,1041.93,1344200780
2019-03-05,1039.34,1048.32,1034.6,1037.31,2013314159
2019-03-06,1040.26,1048.67,1033.65,1034.53,1551485555
2019-03-07,1038.54,1041.94,1022.64,1022.83,1529151831
2019-03-08,1023.37,1024.64,1008.74,1015.38,1167492099
2019-03-11,1018.87,1023.43,1006.52,1008.5,1104288794
2019-03-12,1014.65,1020.69,1009.19,1017.21,1167495426
2019-03-13,1018.21,1025.32,1011.43,1021.97,1219603616
2019-03-14,1022.98,1027.86,1020.1,1024.32,1222110088
2019-03-15,1028.91,1033.8,1026.44,1033.04,1505157197
2019-03-18,1037.85,1048.83,1037.85,1045.95,1406049109
2019-03-19,1046.64,1059.29,1041.54,1048.62,1671550848
2019-03-20,1048.07,1050.99,1031.81,1033.1,1853839835
2019-03-21,1038.36,1042.48,1025.34,1034.08,1550235480
2019-03-22,1036.53,1037.56,996.52,998.35,1785623365
2019-03-25,1000.27,1003.82,983.67,993.26,1626946142
2019-03-26,999.9,1002.6,971.54,973.79,1464774148
2019-03-27,978.21,979.98,905.24,918.55,2007700652
2019-03-28,911.82,937.44,907.77,921.2,2038674035
2019-03-29,924.99,942.47,919.04,937.84,1295328708
2019-04-01,939.08,951.18,918.64,941.01,1612414033
2019-04-02,936.35,953.52,931.32,935.33,1244140482
2019-04-03,941.59,948.91,940.41,944.41,1083708495
2019-04-04,944.78,983.37,942.97,983.37,1496492295
2019-04-05,989.63,992.14,974.22,987.83,1449394012
2019-04-08,989.79,990.77,967.36,969.78,1095046592
2019-04-09,979.57,987.48,974.97,981.35,1283385889
2019-04-10,984.05,984.56,969.12,970.15,1210703873
2019-04-11,972.27,975.31,960.22,960.73,1045391025
2019-04-12,957.22,961.68,950.28,959.77,867638255
2019-04-15,957.6,965.31,951.92,951.92,765377492
2019-04-16,956.77,971.02,956.77,968.09,1074143161
2019-04-17,973.47,986.62,972.98,982.03,1189280741
2019-04-18,979.12,979.12,966.24,968.86,1125782482
2019-04-19,970.82,972.93,967.38,968.61,573036761
2019-04-22,963.9,964.52,958.99,959.53,715480938
2019-04-24,958.21,965.37,958.21,961.42,1120741000
2019-04-25,963.51,964.57,938.92,944.99,1226593752
2019-04-26,948.87,951.45,940.46,947.83,963662418
2019-04-29,950.4,951.14,942.37,945.35,1085055889
2019-04-30,947.36,957.3,947.36,954.16,1337466346
2019-05-02,957.3,960.5,939.2,941.79,1194764826
2019-05-03,942.45,943.96,934.76,939.46,918379230
2019-05-06,930.26,930.76,915.41,929.82,1126170479
2019-05-07,908.01,919.27,906.98,914.82,1231650311
2019-05-08,907.68,916.01,897.34,902.72,1265396501
2019-05-09,903.12,906.97,886.48,886.86,1087826542
2019-05-10,894.8,898.56,883.16,885.33,1096300354
2019-05-13,886.29,887.41,854.47,862.83,1428199701
2019-05-14,866.15,880.23,860.44,880.23,1349330050
2019-05-15,880.7,881.16,860.43,873.8,1123205209
2019-05-16,876.64,885.3,870.88,872.04,1175135057
2019-05-17,869.45,875.19,865.52,867.96,1119640384
2019-05-20,868.95,871.16,865.21,867.71,1010978666
2019-05-21,869.43,871.54,849.77,853.1,1153430239
2019-05-22,850.42,855.8,836.75,836.75,1082142327
2019-05-23,835.35,847.12,835.35,845.96,1006195262
2019-05-24,849.89,864.96,849.86,860.72,1294996701
2019-05-27,865.06,869.45,853.1,855.45,861075887
2019-05-28,861,877.29,861,867.78,1212756777
2019-05-29,869.33,877.69,865.59,871.86,1000773497
2019-05-30,880.32,900.12,880.32,900.12,1306641757
2019-05-31,898.25,905.9,889.75,905.9,1022928959
2019-06-03,903.36,908.67,898.2,903.46,348581186
2019-06-07,905.66,938.09,902.96,938.09,1013312466
2019-06-10,937.62,944.48,930.14,941.03,1426447040
2019-06-11,943.4,945.89,926.54,928.26,1324399552
