Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-03-27,769.75,770.53,740.05,740.15
2015-03-30,740.05,747.15,725.75,729.75
2015-03-31,730.23,739.7,725.75,736
2015-04-01,736.5,750.61,735,749.1
2015-04-02,749.03,755.07,741.8,748.25
2015-04-06,759.07,772.85,754.68,770.05
2015-04-07,770.35,778.35,765.75,769.18
2015-04-08,768.23,772.75,755.1,755.85
2015-04-09,755.95,764.55,752.8,763
2015-04-10,761.95,778.75,761.65,778.5
2015-04-13,777.5,786.9,766.15,770.78
2015-04-14,769.9,771.68,756.75,764.3
2015-04-15,766.2,773.43,759.75,769.8
2015-04-16,771.25,782.75,768.15,780.05
2015-04-17,779.55,786.55,778.05,786.25
2015-04-20,787,788.25,766,774.03
2015-04-21,773.45,779.18,771.23,771.23
2015-04-22,770.75,773.25,756,757.3
2015-04-23,757.73,776.3,756.25,769.53
2015-04-24,770.13,778,768.75,771
2015-04-27,772.75,785.35,767.5,779.03
2015-04-28,779.75,782.75,772.75,776.15
2015-04-29,775.67,785.45,772.8,782.75
2015-04-30,782.1,784.75,770.75,777.75
2015-05-01,779.73,781.75,772.05,773.48
2015-05-04,773.9,784.93,773.4,781.82
2015-05-05,781.95,797.65,778.68,793.88
2015-05-06,791.5,797.13,788.8,792.2
2015-05-07,793.88,793.88,780.3,781.71
2015-05-08,780.64,803.55,780.64,800.21
2015-05-11,799.35,800.89,778.41,782.65
2015-05-12,781.75,789.05,781,786.2
2015-05-13,786.05,792.5,784.45,786.75
2015-05-14,786.74,790.38,776.77,782.5
2015-05-15,783.03,795.7,781,793.57
2015-05-18,794,799.18,784.54,786.4
2015-05-19,787.95,788.1,775.6,776.92
2015-05-20,780.35,787.46,774.28,777.39
2015-05-21,777.05,782.11,775.01,781.47
2015-05-22,781.63,785.5,770.17,783.34
2015-05-25,782.1,789.88,777.96,788.58
2015-05-26,789.45,789.45,780.58,782.54
2015-05-27,783.95,787.53,780.66,785.99
2015-05-28,786.6,789.05,781.71,786.39
2015-05-29,776.49,787.32,776.19,777.2
2015-06-01,776.09,779.74,772.45,773.37
2015-06-02,771.77,777.06,766.04,769
2015-06-03,769.03,769.03,752.5,756.6
2015-06-04,757.33,761.58,754.03,756
2015-06-05,755.75,758.27,748.05,752.8
2015-06-08,752.88,755,742.95,744.9
2015-06-09,745.25,752.26,740.4,740.4
2015-06-10,742.15,749.6,740.46,745.64
2015-06-11,743.65,747.23,739.66,745.6
2015-06-12,746,747.65,737.26,737.62
2015-06-15,740.35,740.35,733.68,735.38
2015-06-16,735.69,741.72,732.9,733.7
2015-06-17,730.15,734.1,719.35,724.35
2015-06-18,725.05,727.8,718.7,721.3
2015-06-19,722.25,722.25,707.23,708.13
2015-06-22,708.45,709.8,691,696.75
2015-06-23,697.25,705.03,694.3,697.4
2015-06-24,698.13,707.93,694.75,695.6
2015-06-25,695.6,699.95,673.9,679.15
2015-06-26,680.3,681.65,670.4,679.35
2015-06-29,681.75,681.75,666.6,667.3
2015-06-30,668.35,675.7,665,674.63
2015-07-01,673.82,703.4,673.57,697.9
2015-07-02,698.35,704.03,693.5,694.55
2015-07-03,694.05,697.35,679.5,685.55
2015-07-06,685.85,686,667.15,681.75
2015-07-07,682.98,684.7,642.81,650.75
2015-07-08,655.05,656.15,631.14,654.75
2015-07-09,653.7,664.45,637.5,637.85
2015-07-10,641.13,655.2,639.95,651.6
2015-07-13,653.25,668.15,642.65,660.38
2015-07-14,658,665.68,652.05,653.4
2015-07-15,654.63,660.65,639.8,642.55
2015-07-16,642.85,648.2,626,631.5
2015-07-17,631.3,631.5,616.6,616.75
2015-07-20,619.95,620.05,597.78,606.4
2015-07-21,609.93,630.25,601.88,626.75
2015-07-22,628.35,630.05,614,628.45
2015-07-23,639.6,640.45,614.48,617.4
2015-07-24,621.25,627.68,612,624.55
2015-07-27,624.8,632.48,612.95,613.75
2015-07-28,614.28,623.38,613.3,621.75
2015-07-29,621.43,627.95,615.1,620.48
2015-07-30,624.15,625.88,617.48,620.45
2015-07-31,621.55,622.43,608.63,612.2
2015-08-03,615.9,625.15,597,599.5
2015-08-04,599.3,603.1,589.15,599.85
2015-08-05,597.95,600.55,593.65,594.7
2015-08-06,594.85,603.05,594.5,600
2015-08-07,599.95,609,599,600
2015-08-10,597.63,616.5,596.28,610.85
2015-08-11,607.6,622.29,600.3,602
2015-08-12,601.95,627.9,597.2,626.9
2015-08-13,625.3,627.53,614.95,617
2015-08-14,616.9,625.15,613.5,618.7
2015-08-17,618.55,621,611.3,615.23
2015-08-18,614.2,615.7,593.63,597.57
2015-08-19,597.43,613.85,591.9,613.4
2015-08-20,612.23,625.1,610.73,623.65
2015-08-21,623.45,625.15,602.4,604.25
2015-08-24,602.28,602.65,567.7,573.45
2015-08-25,566.85,568.78,534.1,537.5
2015-08-26,539.55,547.93,522.03,532.28
2015-08-27,534.5,568.05,533.25,565.15
2015-08-28,573.4,592.3,561,588.73
2015-08-31,583.35,605.38,579.63,600.63
2015-09-01,596.57,599.25,569.55,571.3
2015-09-02,573,586,569.45,584.65
2015-09-03,585.18,592.3,573.1,574.68
2015-09-04,574.8,584,572.75,583.9
2015-09-07,576,583.75,573.35,581.1
2015-09-08,582.85,598,580.89,589.28
2015-09-09,592.75,595.57,576.5,578.75
2015-09-10,577.95,593.7,575.3,590.93
2015-09-11,591.8,594.95,579.03,593.85
2015-09-14,593.18,598.75,584.03,588.3
2015-09-15,586.65,603.48,581.1,603.05
2015-09-16,601.75,613.38,595.02,611.5
2015-09-17,613.15,617.4,594.75,611.35
2015-09-18,609.85,612.82,603.13,607
2015-09-21,608.55,618.8,602.3,614.7
2015-09-22,614.35,616.35,595.35,609.75
2015-09-23,610,650.63,608.28,647.23
2015-09-24,657.95,661.88,639.25,656.2
2015-09-25,653,676.4,651.9,663.48
2015-09-28,667.98,668.15,645.8,648.57
2015-09-29,649.75,658.4,640.45,657.48
2015-09-30,654.7,669.32,651,652.9
2015-10-01,652.95,680.53,651.3,675.63
2015-10-02,675.5,700.2,674.75,699
2015-10-05,704.73,712.7,686.2,693.1
2015-10-06,692.48,714,686.05,705.95
2015-10-07,707.3,712.5,691.4,695.7
2015-10-08,694.1,708.3,687.73,701.85
2015-10-09,700.88,722.45,700.88,709.45
2015-10-12,709,716.75,692.03,693.35
2015-10-13,693.32,697.98,681.31,683.03
2015-10-14,683.32,702.75,683,699.7
2015-10-15,701.15,707.5,696.78,703.55
2015-10-16,702.25,704.3,692.89,697.45
2015-10-19,695.35,695.85,678.59,685.75
2015-10-20,685.25,699,682.03,693.88
2015-10-21,695.35,696.1,673.32,676.05
2015-10-22,676,686.45,668.5,686.4
2015-10-23,688.15,702,685.75,694.5
2015-10-26,693.4,694.4,678.32,682.93
2015-10-27,682.2,684.03,675.73,676.55
2015-10-28,677.3,691.85,672.64,676.9
2015-10-29,677.15,678.75,668.63,671.45
2015-10-30,672.25,688.25,670.15,676.05
2015-11-02,673,673,646.65,648.7
2015-11-03,652.75,655.1,640.48,645.15
2015-11-04,646.75,651.32,623.32,630.35
2015-11-05,628.8,629.65,602.95,606.53
2015-11-06,608.2,619.75,602,617.4
2015-11-09,615.75,619.4,595.7,598.93
2015-11-10,600.3,614.55,595.8,598.6
2015-11-11,597.85,602.25,574.53,575.73
2015-11-12,576.44,583.16,557.88,561.51
2015-11-13,561.01,562.11,533.79,540.34
2015-11-16,541.3,553.89,540.13,551.12
2015-11-17,547.97,555.55,534.9,539.72
2015-11-18,539.5,548.45,526.5,533.22
2015-11-19,538.5,546.5,528.2,536.75
2015-11-20,540.75,557.75,540,557.25
2015-11-23,556.25,557.7,534.5,535.75
2015-11-24,538,542.35,532.1,536.47
2015-11-25,535.47,558.25,527.5,551.72
2015-11-26,558.3,564.5,548,554
2015-11-27,553.72,559,545.5,548
2015-11-30,541.22,549.25,538.58,541.22
2015-12-01,542.72,552.96,537.25,540.6
2015-12-02,539.22,542.55,525.85,527.27
2015-12-03,527.9,537.75,521.97,537.51
2015-12-04,542,570.6,533.97,568.1
2015-12-07,559.53,563.5,547.72,551.53
2015-12-08,553.45,559.58,545.7,546.2
2015-12-09,548.55,555.75,542.75,552.45
2015-12-10,551.63,557.15,541.25,541.4
2015-12-11,541.76,548.49,540.23,542.7
2015-12-14,543.68,550.7,542.46,547.35
